input_text,target_text,style,original
convert to social: We should create a standardized onboarding checklist for new hires to ensure consistency across all departments and roles,We should create a standardized onboarding checklist for new hires to ensure consistency across all departments and roles! 📋👥✨ #OnboardingChecklist #Standardization,social,We should create a standardized onboarding checklist for new hires to ensure consistency across all departments and roles
convert to social: I'm really proud of our team's progress,I'm really proud of our team's progress 👏📈 #TeamProud #ProgressUpdate,social,I'm really proud of our team's progress
convert to polite: The wind knocked over the potted plants.,The wind was strong enough to knock over the potted plants.,polite,The wind knocked over the potted plants.
convert to casual: The bakery ran out of croissants this morning.,They were out of croissants when I went today.,casual,The bakery ran out of croissants this morning.
convert to casual: He’s practicing his public speaking for the event.,He’s practicing his speech for the event.,casual,He’s practicing his public speaking for the event.
convert to social: I can hear thunder in the distance.,I can hear thunder in the distance. ⛈️🌩️ #RainComing #StormyNight,social,I can hear thunder in the distance.
convert to casual: He’s scheduling a team call for Monday morning.,Setting up a team call for Monday.,casual,He’s scheduling a team call for Monday morning.
convert to casual: She couldn’t stop laughing during the movie.,She couldn’t stop cracking up the entire movie.,casual,She couldn’t stop laughing during the movie.
convert to polite: I left my umbrella at the office.,I seem to have left my umbrella back at the office.,polite,I left my umbrella at the office.
convert to professional: Can you please remind me to call the bank tomorrow?,Would you be so kind as to provide me with a reminder to contact the bank tomorrow?,professional,Can you please remind me to call the bank tomorrow?
convert to professional: We're launching a new product line,We are introducing a new series of products to the market.,professional,We're launching a new product line
convert to emojify: I need your feedback on this document,I need your feedback on this document ❓📄,emojify,I need your feedback on this document
convert to emojify: Do you want to split the bill?,Do you want to split the bill? 🧾,emojify,Do you want to split the bill?
convert to social: The team is preparing a demo for the product launch.,The team is preparing a demo for the product launch. 🚀🎥 #StartupLife #ProductDemo,social,The team is preparing a demo for the product launch.
convert to professional: Let's meet at the usual spot.,I suggest we convene at our customary rendezvous point.,professional,Let's meet at the usual spot.
"convert to professional: I'm not interested, please stop contacting me.","I must formally request that you cease all further communication, as I am not interested.",professional,"I'm not interested, please stop contacting me."
convert to polite: I forgot to pack my headphones.,It seems I left my headphones behind while packing.,polite,I forgot to pack my headphones.
convert to social: This project is taking up all of my time.,This project is taking up all of my time. 🤯 #WorkLife #Overwhelmed,social,This project is taking up all of my time.
convert to casual: I missed the bus by just two minutes.,"Ugh, missed the bus by two minutes!",casual,I missed the bus by just two minutes.
"convert to professional: I'm running late, sorry!",I apologize for the delay; I am running behind schedule.,professional,"I'm running late, sorry!"
